statistical_area2,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°„C),Quality
Howard Springs,14041,2012,2,34.2,Y
Howard Springs,14041,2012,3,33,Y
Howard Springs,14041,2012,4,34.3,Y
Howard Springs,14041,2012,5,32.7,Y
Howard Springs,14041,2012,6,31.3,Y
Howard Springs,14041,2012,7,32.6,Y
Howard Springs,14041,2012,8,34.5,Y
Howard Springs,14041,2012,9,37.3,Y
Howard Springs,14041,2012,10,36.7,Y
Howard Springs,14041,2012,11,37,Y
Howard Springs,14041,2012,12,36.9,Y
Howard Springs,14041,2013,1,35.1,Y
Howard Springs,14041,2013,2,35,Y
Howard Springs,14041,2013,3,33.9,Y
Howard Springs,14041,2013,4,34.8,Y
Howard Springs,14041,2013,5,34.2,Y
Howard Springs,14041,2013,6,32.8,Y
Howard Springs,14041,2013,7,33,Y
Howard Springs,14041,2013,8,34.9,Y
Howard Springs,14041,2013,9,36.8,Y
Howard Springs,14041,2013,10,38.1,Y
Howard Springs,14041,2013,11,35.8,Y
Howard Springs,14041,2013,12,34.5,Y
Howard Springs,14041,2014,1,33,Y
Howard Springs,14041,2014,2,32.5,Y
Howard Springs,14041,2014,3,34.9,Y
Howard Springs,14041,2014,4,34.1,Y
Howard Springs,14041,2014,5,33.2,Y
Howard Springs,14041,2014,6,32.3,Y
Howard Springs,14041,2014,7,32.7,Y
Howard Springs,14041,2014,8,33.8,Y
Howard Springs,14041,2014,9,37.2,Y
Howard Springs,14041,2014,10,38.5,Y
Howard Springs,14041,2014,11,37.5,Y
Howard Springs,14041,2014,12,35.5,Y
Howard Springs,14041,2015,1,32.3,Y
Howard Springs,14041,2015,2,35.1,Y
Howard Springs,14041,2015,3,34.8,Y
Howard Springs,14041,2015,4,34.7,Y
Howard Springs,14041,2015,5,33.9,Y
Howard Springs,14041,2015,6,33.5,Y
Howard Springs,14041,2015,7,33,Y
Howard Springs,14041,2015,8,34.4,Y
Howard Springs,14041,2015,9,36.7,Y
Howard Springs,14041,2015,10,37.7,Y
Howard Springs,14041,2015,11,38.4,Y
Howard Springs,14041,2015,12,34,Y
Howard Springs,14041,2016,1,35.6,Y
Howard Springs,14041,2016,2,35.6,Y
Howard Springs,14041,2016,3,36,Y
Howard Springs,14041,2016,4,35.9,Y
Howard Springs,14041,2016,5,34.6,Y
Howard Springs,14041,2016,6,34.8,Y
