reporting_region,year,month_number,Mean_maximum_temperature
Darwin,1960,7,30.2
Darwin,1960,8,30.4
Darwin,1960,9,32
Darwin,1960,10,33.4
Darwin,1960,11,33.5
Darwin,1960,12,32.5
Darwin,1961,1,31.6
Darwin,1961,2,31.3
Darwin,1961,3,32.6
Darwin,1961,4,32.8
Darwin,1961,5,32
Darwin,1961,6,30
Darwin,1961,7,29.7
Darwin,1961,8,29.9
Darwin,1961,9,32.2
Darwin,1961,10,33.3
Darwin,1961,11,32.5
Darwin,1961,12,33.7
Darwin,1962,1,30.7
Darwin,1962,2,30.9
Darwin,1962,3,32.7
Darwin,1962,4,32.6
Darwin,1962,5,32.3
Darwin,1962,6,31.8
Darwin,1962,7,30.6
Darwin,1962,8,31.5
Darwin,1962,9,32.7
Darwin,1962,10,33.2
Darwin,1962,11,33.6
Darwin,1962,12,33
Darwin,1963,1,30.9
Darwin,1963,2,30.6
Darwin,1963,3,32
Darwin,1963,4,31.7
Darwin,1963,5,31.3
Darwin,1963,6,29.5
Darwin,1963,7,29.5
Darwin,1963,8,30.2
Darwin,1963,9,31.7
Darwin,1963,10,33
Darwin,1963,11,33.7
Darwin,1963,12,32.9
Darwin,1964,1,31.9
Darwin,1964,2,33.1
Darwin,1964,3,31.4
Darwin,1964,4,32.4
Darwin,1964,5,32.1
Darwin,1964,6,30.2
Darwin,1964,7,31.2
Darwin,1964,8,31.3
Darwin,1964,9,33
Darwin,1964,10,33.5
Darwin,1964,11,31.8
Darwin,1964,12,32.2
Darwin,1965,1,32.2
Darwin,1965,2,32.3
Darwin,1965,3,30
Darwin,1965,4,32.8
Darwin,1965,5,32.8
Darwin,1965,6,30.6
Darwin,1965,7,29.1
Darwin,1965,8,30.4
Darwin,1965,9,32.4
Darwin,1965,10,33
Darwin,1965,11,33.6
Darwin,1965,12,31.8
Darwin,1966,1,31.7
Darwin,1966,2,31.5
Darwin,1966,3,32.6
Darwin,1966,4,33.4
Darwin,1966,5,31.6
Darwin,1966,6,31.4
Darwin,1966,7,30.7
Darwin,1966,8,31.4
Darwin,1966,9,32.4
Darwin,1966,10,32.7
Darwin,1966,11,33
Darwin,1966,12,32.6
Darwin,1967,1,31.4
Darwin,1967,2,29.9
Darwin,1967,3,31.2
Darwin,1967,4,33
Darwin,1967,5,32
Darwin,1967,6,29.5
Darwin,1967,7,29.9
Darwin,1967,8,31.1
Darwin,1967,9,32.4
Darwin,1967,10,33.6
Darwin,1967,11,34.2
Darwin,1967,12,34
Darwin,1968,1,31.1
Darwin,1968,2,29.8
Darwin,1968,3,32
Darwin,1968,4,32.8
Darwin,1968,5,30.2
Darwin,1968,6,30.5
Darwin,1968,7,29.7
Darwin,1968,8,31.1
Darwin,1968,9,32.5
Darwin,1968,10,33.4
Darwin,1968,11,33.7
Darwin,1968,12,33.6
Darwin,1969,1,32.4
Darwin,1969,2,30.6
Darwin,1969,3,32.2
Darwin,1969,4,33.9
Darwin,1969,5,33.3
Darwin,1969,6,31.2
Darwin,1969,7,31.7
Darwin,1969,8,32.1
Darwin,1969,9,32.5
Darwin,1969,10,31.9
Darwin,1969,11,34.3
Darwin,1969,12,33.2
Darwin,1970,1,33.4
Darwin,1970,2,32.4
Darwin,1970,3,33.2
Darwin,1970,4,33.2
Darwin,1970,5,32.7
Darwin,1970,6,32.1
Darwin,1970,7,30.7
Darwin,1970,8,31.3
Darwin,1970,9,32.9
Darwin,1970,10,33.4
Darwin,1970,11,33.8
Darwin,1970,12,32.5
Darwin,1971,1,32.3
Darwin,1971,2,31.4
Darwin,1971,3,30.9
Darwin,1971,4,31.8
Darwin,1971,5,31.3
Darwin,1971,6,29.2
Darwin,1971,7,30.3
Darwin,1971,8,31.4
Darwin,1971,9,33.6
Darwin,1971,10,33.6
Darwin,1971,11,32.9
Darwin,1971,12,31.9
Darwin,1972,1,32.6
Darwin,1972,2,32.1
Darwin,1972,3,31.8
Darwin,1972,4,33
Darwin,1972,5,31.5
Darwin,1972,6,30.6
Darwin,1972,7,30.6
Darwin,1972,8,31.3
Darwin,1972,9,32.9
Darwin,1972,10,33.5
Darwin,1972,11,33.7
Darwin,1972,12,33.4
Darwin,1973,1,32.3
Darwin,1973,2,32.4
Darwin,1973,3,31.7
Darwin,1973,4,33.1
Darwin,1973,5,33.1
Darwin,1973,6,31.6
Darwin,1973,7,31.3
Darwin,1973,8,32.8
Darwin,1973,9,33.3
Darwin,1973,10,34.4
Darwin,1973,11,32.7
Darwin,1973,12,32.4
Darwin,1974,1,30.1
Darwin,1974,2,30.8
Darwin,1974,3,30.4
Darwin,1974,4,32.6
Darwin,1974,5,31.7
Darwin,1974,6,29.6
Darwin,1974,7,30.9
Darwin,1974,8,31.2
Darwin,1974,9,32.8
Darwin,1974,10,32.7
Darwin,1974,11,32.7
Darwin,1974,12,31.1
Darwin,1975,1,32.7
Darwin,1975,2,31.6
Darwin,1975,3,31.7
Darwin,1975,4,33
Darwin,1975,5,32.9
Darwin,1975,6,30.6
Darwin,1975,7,32.2
Darwin,1975,8,32.1
Darwin,1975,9,33.5
Darwin,1975,10,33.2
Darwin,1975,11,32.6
Darwin,1975,12,32.1
Darwin,1976,1,31.1
Darwin,1976,2,30.7
Darwin,1976,3,30.9
Darwin,1976,4,33.7
Darwin,1976,5,32.5
Darwin,1976,6,31.1
Darwin,1976,7,30.7
Darwin,1976,8,31.1
Darwin,1976,9,32.8
Darwin,1976,10,33.4
Darwin,1976,11,34.4
Darwin,1976,12,33.7
Darwin,1977,1,31.8
Darwin,1977,2,31.7
Darwin,1977,3,29.7
Darwin,1977,4,32.3
Darwin,1977,5,30.9
Darwin,1977,6,29.4
Darwin,1977,7,29.6
Darwin,1977,8,31.4
Darwin,1977,9,32
Darwin,1977,10,33.1
Darwin,1977,11,33.5
Darwin,1977,12,32.9
Darwin,1978,1,31.6
Darwin,1978,2,31.3
Darwin,1978,3,33
Darwin,1978,4,33.4
Darwin,1978,5,33.1
Darwin,1978,6,30.8
Darwin,1978,7,30.6
Darwin,1978,8,32.1
Darwin,1978,9,32.5
Darwin,1978,10,32.9
Darwin,1978,11,32.7
Darwin,1978,12,33
Darwin,1979,1,31.7
Darwin,1979,2,32.3
Darwin,1979,3,32.5
Darwin,1979,4,33.6
Darwin,1979,5,32.2
Darwin,1979,6,31.4
Darwin,1979,7,30.9
Darwin,1979,8,31.4
Darwin,1979,9,33
Darwin,1979,10,33.7
Darwin,1979,11,34.3
Darwin,1979,12,33.7
Darwin,1980,1,31.6
Darwin,1980,2,30.7
Darwin,1980,3,32.3
Darwin,1980,4,32.8
Darwin,1980,5,32.7
Darwin,1980,6,31.8
Darwin,1980,7,30.9
Darwin,1980,8,31.8
Darwin,1980,9,33.1
Darwin,1980,10,32.9
Darwin,1980,11,33.3
Darwin,1980,12,32.7
Darwin,1981,1,30.8
Darwin,1981,2,30.6
Darwin,1981,3,31.9
Darwin,1981,4,32.9
Darwin,1981,5,31.8
Darwin,1981,6,30.9
Darwin,1981,7,31.7
Darwin,1981,8,31.7
Darwin,1981,9,33
Darwin,1981,10,32.8
Darwin,1981,11,32.8
Darwin,1981,12,32.8
Darwin,1982,1,31.5
Darwin,1982,2,31
Darwin,1982,3,31.6
Darwin,1982,4,33.9
Darwin,1982,5,32.2
Darwin,1982,6,30.2
Darwin,1982,7,29.8
Darwin,1982,8,30.7
Darwin,1982,9,31.1
Darwin,1982,10,32.9
Darwin,1982,11,32.7
Darwin,1982,12,33.1
Darwin,1983,1,32.7
Darwin,1983,2,32.6
Darwin,1983,3,31.6
Darwin,1983,4,32
Darwin,1983,5,31.4
Darwin,1983,6,30.8
Darwin,1983,7,29.5
Darwin,1983,8,31.4
Darwin,1983,9,32.6
Darwin,1983,10,33.3
Darwin,1983,11,32.9
Darwin,1983,12,33
Darwin,1984,1,31.1
Darwin,1984,2,30.2
Darwin,1984,3,31.2
Darwin,1984,4,32.7
Darwin,1984,5,32.7
Darwin,1984,6,30.5
Darwin,1984,7,29.4
Darwin,1984,8,30.9
Darwin,1984,9,31.9
Darwin,1984,10,33.5
Darwin,1984,11,33
Darwin,1984,12,32.2
Darwin,1985,1,32.7
Darwin,1985,2,31.6
Darwin,1985,3,32.2
Darwin,1985,4,33.1
Darwin,1985,5,32.5
Darwin,1985,6,29.2
Darwin,1985,7,29.3
Darwin,1985,8,31.3
Darwin,1985,9,32.8
Darwin,1985,10,32.8
Darwin,1985,11,33.5
Darwin,1985,12,33.7
Darwin,1986,1,31.6
Darwin,1986,2,32.2
Darwin,1986,3,32.3
Darwin,1986,4,32.5
Darwin,1986,5,32.5
Darwin,1986,6,31.1
Darwin,1986,7,30.3
Darwin,1986,8,30.4
Darwin,1986,9,32.4
Darwin,1986,10,32.7
Darwin,1986,11,33.2
Darwin,1986,12,33.8
Darwin,1987,1,31.4
Darwin,1987,2,30.2
Darwin,1987,3,33
Darwin,1987,4,33.1
Darwin,1987,5,32.5
Darwin,1987,6,31.4
Darwin,1987,7,30.5
Darwin,1987,8,31.2
Darwin,1987,9,32.1
Darwin,1987,10,33.8
Darwin,1987,11,33.5
Darwin,1987,12,32
Darwin,1988,1,32.7
Darwin,1988,2,32.2
Darwin,1988,3,32.7
Darwin,1988,4,32.9
Darwin,1988,5,32.8
Darwin,1988,6,31
Darwin,1988,7,31.6
Darwin,1988,8,32.9
Darwin,1988,9,32.7
Darwin,1988,10,33.5
Darwin,1988,11,33
Darwin,1988,12,30.8
Darwin,1989,1,32
Darwin,1989,2,32.6
Darwin,1989,3,30.7
Darwin,1989,4,32
Darwin,1989,5,32.2
Darwin,1989,6,30
Darwin,1989,7,30.8
Darwin,1989,8,30.8
Darwin,1989,9,32.7
Darwin,1989,10,33.5
Darwin,1989,11,33.9
Darwin,1989,12,33.2
Darwin,1990,1,32
Darwin,1990,2,32.7
Darwin,1990,3,32.3
Darwin,1990,4,32.7
Darwin,1990,5,31.6
Darwin,1990,6,29.9
Darwin,1990,7,31.1
Darwin,1990,8,30.8
Darwin,1990,9,33.3
Darwin,1990,10,33.8
Darwin,1990,11,33.7
Darwin,1990,12,32.5
Darwin,1991,1,31
Darwin,1991,2,30.1
Darwin,1991,3,32.2
Darwin,1991,4,32.6
Darwin,1991,5,32.2
Darwin,1991,6,31.2
Darwin,1991,7,30.4
Darwin,1991,8,31.3
Darwin,1991,9,31.7
Darwin,1991,10,33.4
Darwin,1991,11,32.5
Darwin,1991,12,33.5
Darwin,1992,1,32.5
Darwin,1992,2,31.8
Darwin,1992,3,33.2
Darwin,1992,4,31.9
Darwin,1992,5,32.8
Darwin,1992,6,30.9
Darwin,1992,7,31.2
Darwin,1992,8,31.6
Darwin,1992,9,32.7
Darwin,1992,10,33.4
Darwin,1992,11,33
Darwin,1992,12,32.8
Darwin,1993,1,31.6
Darwin,1993,2,30.6
Darwin,1993,3,32.4
Darwin,1993,4,34
Darwin,1993,5,32.6
Darwin,1993,6,31.7
Darwin,1993,7,30.7
Darwin,1993,8,31.6
Darwin,1993,9,32.5
Darwin,1993,10,33.5
Darwin,1993,11,33.8
Darwin,1993,12,32.2
Darwin,1994,1,32.5
Darwin,1994,2,31.3
Darwin,1994,3,32.4
Darwin,1994,4,32.8
Darwin,1994,5,32.4
Darwin,1994,6,30.6
Darwin,1994,7,30.3
Darwin,1994,8,31.6
Darwin,1994,9,31.8
Darwin,1994,10,33
Darwin,1994,11,33.9
Darwin,1994,12,32.7
Darwin,1995,1,31.2
Darwin,1995,2,31.6
Darwin,1995,3,30.9
Darwin,1995,4,32
Darwin,1995,5,31.6
Darwin,1995,6,30.4
Darwin,1995,7,30.8
Darwin,1995,8,32.2
Darwin,1995,9,32.7
Darwin,1995,10,32.8
Darwin,1995,11,33.4
Darwin,1995,12,32.4
Darwin,1996,1,32.3
Darwin,1996,2,32.4
Darwin,1996,3,32.3
Darwin,1996,4,32.4
Darwin,1996,5,32.5
Darwin,1996,6,32.1
Darwin,1996,7,31
Darwin,1996,8,31.6
Darwin,1996,9,33.1
Darwin,1996,10,33.6
Darwin,1996,11,33.7
Darwin,1996,12,31.9
Darwin,1997,1,30.9
Darwin,1997,2,31
Darwin,1997,3,31.9
Darwin,1997,4,33.6
Darwin,1997,5,31.5
Darwin,1997,6,30.7
Darwin,1997,7,30.7
Darwin,1997,8,31.3
Darwin,1997,9,33
Darwin,1997,10,33.2
Darwin,1997,11,33.2
Darwin,1997,12,32.7
Darwin,1998,1,31.6
Darwin,1998,2,32.6
Darwin,1998,3,32.5
Darwin,1998,4,33.9
Darwin,1998,5,33.4
Darwin,1998,6,32.4
Darwin,1998,7,32.4
Darwin,1998,8,32.6
Darwin,1998,9,33.6
Darwin,1998,10,34.2
Darwin,1998,11,33.6
Darwin,1998,12,31.6
Darwin,1999,1,31.3
Darwin,1999,2,30.3
Darwin,1999,3,31.5
Darwin,1999,4,32
Darwin,1999,5,31.4
Darwin,1999,6,31.3
Darwin,1999,7,30.6
Darwin,1999,8,31.7
Darwin,1999,9,33.1
Darwin,1999,10,33
Darwin,1999,11,32.8
Darwin,1999,12,32.8
Darwin,2000,1,31.4
Darwin,2000,2,30.9
Darwin,2000,3,31
Darwin,2000,4,31.5
Darwin,2000,5,31.3
Darwin,2000,6,29.2
Darwin,2000,7,30.5
Darwin,2000,8,31.8
Darwin,2000,9,33.3
Darwin,2000,10,32.9
Darwin,2000,11,33.9
Darwin,2000,12,31.4
Darwin,2001,1,31.8
Darwin,2001,2,31.3
Darwin,2001,3,31.6
Darwin,2001,4,32.6
Darwin,2001,5,31.5
Darwin,2001,6,31.7
Darwin,2001,7,30.6
Darwin,2001,8,31.2
Darwin,2001,9,33.1
Darwin,2001,10,33.8
Darwin,2001,11,33.9
Darwin,2001,12,32.5
Darwin,2002,1,33.1
Darwin,2002,2,31
Darwin,2002,3,33.3
Darwin,2002,4,33.5
Darwin,2002,5,33
Darwin,2002,6,31.2
Darwin,2002,7,30.8
Darwin,2002,8,31.7
Darwin,2002,9,31.8
Darwin,2002,10,34.2
Darwin,2002,11,34.1
Darwin,2002,12,34.4
Darwin,2003,1,32.1
Darwin,2003,2,31.1
Darwin,2003,3,31.9
Darwin,2003,4,34
Darwin,2003,5,33
Darwin,2003,6,32
Darwin,2003,7,31.7
Darwin,2003,8,31.6
Darwin,2003,9,33
Darwin,2003,10,34.1
Darwin,2003,11,33.8
Darwin,2003,12,32.7
Darwin,2004,1,31.8
Darwin,2004,2,30.9
Darwin,2004,3,31.9
Darwin,2004,4,34
Darwin,2004,5,31.9
Darwin,2004,6,29.7
Darwin,2004,7,30.3
Darwin,2004,8,30.7
Darwin,2004,9,32.9
Darwin,2004,10,33.8
Darwin,2004,11,34.3
Darwin,2004,12,33.5
Darwin,2005,1,32.4
Darwin,2005,2,32.8
Darwin,2005,3,32.7
Darwin,2005,4,33.5
Darwin,2005,5,32.6
Darwin,2005,6,31.5
Darwin,2005,7,31.9
Darwin,2005,8,32
Darwin,2005,9,32.9
Darwin,2005,10,34.2
Darwin,2005,11,33.9
Darwin,2005,12,33.2
Darwin,2006,1,31
Darwin,2006,2,32.7
Darwin,2006,3,30.9
Darwin,2006,4,31.1
Darwin,2006,5,30.8
Darwin,2006,6,29.9
Darwin,2006,7,29.6
Darwin,2006,8,31.4
Darwin,2006,9,32.8
Darwin,2006,10,33.6
Darwin,2006,11,33.9
Darwin,2006,12,33.9
Darwin,2007,1,32.4
Darwin,2007,2,32.1
Darwin,2007,3,30.9
Darwin,2007,4,33.1
Darwin,2007,5,33.4
Darwin,2007,6,29.9
Darwin,2007,7,29.9
Darwin,2007,8,31.3
Darwin,2007,9,33.1
Darwin,2007,10,33.9
Darwin,2007,11,33.6
Darwin,2007,12,33.3
Darwin,2008,1,32.2
Darwin,2008,2,30.8
Darwin,2008,3,32.2
Darwin,2008,4,33.3
Darwin,2008,5,32.5
Darwin,2008,6,31.4
Darwin,2008,7,31.2
Darwin,2008,8,32.6
Darwin,2008,9,33.3
Darwin,2008,10,34.4
Darwin,2008,11,34.2
Darwin,2008,12,32.2
Darwin,2009,1,32.1
Darwin,2009,2,30.9
Darwin,2009,3,33.2
Darwin,2009,4,33.6
Darwin,2009,5,32.6
Darwin,2009,6,31.5
Darwin,2009,7,31.3
Darwin,2009,8,32
Darwin,2009,9,33.5
Darwin,2009,10,34.8
